Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,5656.0,5995.0,6376.0,10960.0
1,5804.0,6143.0,6464.0,11105.0
2,5848.0,6112.0,6475.0,11033.0
3,5706.0,6033.0,6414.0,11029.0
4,5939.0,6191.0,6530.0,11088.0
5,5676.0,5976.0,6390.0,11083.0
6,5665.0,6061.0,6397.0,10913.0
7,5690.0,6050.0,6398.0,11061.0
8,5735.0,6041.0,6416.0,11024.0
9,5643.0,6051.0,6375.0,11011.0
10,5649.0,5976.0,6384.0,11000.0
11,5629.0,6004.0,6382.0,11074.0
12,5681.0,6056.0,6395.0,11005.0
13,5698.0,6067.0,6409.0,10961.0
14,5758.0,6022.0,6439.0,11043.0
15,5617.0,5998.0,6376.0,10993.0
16,5618.0,6005.0,6365.0,10972.0
17,5685.0,6003.0,6402.0,10982.0
18,5821.0,6118.0,6472.0,10978.0
19,5638.0,6052.0,6385.0,11072.0
20,5802.0,6114.0,6459.0,10944.0
21,5627.0,6020.0,6380.0,10927.0
22,5707.0,6052.0,6412.0,10938.0
23,5697.0,6009.0,6390.0,10998.0
24,5438.0,5867.0,6281.0,10965.0
25,5683.0,6031.0,6403.0,10990.0
26,5570.0,5966.0,6344.0,11059.0
27,5579.0,6002.0,6344.0,10986.0
28,5820.0,6096.0,6453.0,10933.0
29,5576.0,5948.0,6347.0,11066.0
30,5433.0,5895.0,6282.0,10979.0
31,5814.0,6087.0,6450.0,10981.0
32,5699.0,6065.0,6413.0,11032.0
33,5731.0,6019.0,6418.0,11052.0
34,5892.0,6117.0,6498.0,10993.0
35,5675.0,6002.0,6389.0,11054.0
36,5648.0,6026.0,6380.0,11019.0
37,5543.0,5936.0,6329.0,10998.0
38,5737.0,6034.0,6430.0,11013.0
39,5768.0,6101.0,6452.0,10959.0
40,5725.0,6076.0,6421.0,11020.0
41,5745.0,6093.0,6432.0,11053.0
42,5682.0,6012.0,6399.0,10985.0
43,5752.0,6061.0,6421.0,11121.0
44,5903.0,6140.0,6512.0,11047.0
45,5628.0,5994.0,6369.0,11091.0
46,5761.0,6061.0,6424.0,11017.0
47,5781.0,6123.0,6462.0,11106.0
48,5677.0,6019.0,6391.0,11046.0
49,5614.0,6028.0,6373.0,10930.0
50,5689.0,6022.0,6403.0,10958.0
51,5755.0,6091.0,6436.0,10928.0
52,5848.0,6121.0,6478.0,10969.0
53,5632.0,5971.0,6373.0,10982.0
54,5747.0,6014.0,6422.0,11075.0
55,5865.0,6192.0,6495.0,11045.0
56,5520.0,5895.0,6309.0,11042.0
57,5678.0,6035.0,6404.0,11121.0
58,5785.0,6055.0,6451.0,11006.0
59,5764.0,6070.0,6442.0,11064.0
60,5662.0,6019.0,6388.0,11060.0
61,5754.0,6093.0,6447.0,11097.0
62,5768.0,6101.0,6446.0,11005.0
63,5423.0,5882.0,6281.0,11055.0
64,5805.0,6093.0,6456.0,10978.0
65,5711.0,6047.0,6404.0,11030.0
66,5658.0,6021.0,6375.0,10993.0
67,5787.0,6087.0,6450.0,11003.0
68,5607.0,5985.0,6360.0,10969.0
69,5583.0,5943.0,6348.0,11022.0
70,5684.0,6053.0,6407.0,11066.0
71,5798.0,6083.0,6449.0,11016.0
72,5889.0,6147.0,6492.0,10937.0
73,5660.0,6014.0,6383.0,11061.0
74,5530.0,5956.0,6334.0,11127.0
75,5545.0,5962.0,6331.0,10956.0
76,5820.0,6069.0,6468.0,11047.0
77,5430.0,5871.0,6276.0,11039.0
78,5679.0,6024.0,6396.0,11025.0
79,5692.0,6061.0,6415.0,11012.0
80,5689.0,6043.0,6415.0,10857.0
81,5796.0,6117.0,6459.0,10927.0
82,5618.0,5987.0,6359.0,11055.0
83,5695.0,6016.0,6403.0,10966.0
84,5569.0,5968.0,6349.0,11020.0
85,5621.0,5966.0,6377.0,11016.0
86,5593.0,6007.0,6358.0,11043.0
87,5928.0,6219.0,6510.0,11029.0
88,5836.0,6136.0,6475.0,11049.0
89,5489.0,5927.0,6299.0,11017.0
90,5621.0,5996.0,6374.0,11058.0
91,5768.0,6116.0,6449.0,11103.0
92,5808.0,6135.0,6474.0,11020.0
93,5463.0,5904.0,6285.0,11091.0
94,5780.0,6128.0,6452.0,11028.0
95,5675.0,5999.0,6389.0,10908.0
96,5764.0,6064.0,6442.0,10918.0
97,5782.0,6148.0,6448.0,11033.0
98,5592.0,5943.0,6348.0,10964.0
99,5820.0,6081.0,6459.0,11063.0
100,5695.38,6038.25,6405.45,11015.42
