Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
1,2686.0,2833.0,2977.0,6068.0
2,2519.0,2678.0,2879.0,6022.0
3,2643.0,2769.0,2946.0,6020.0
4,2542.0,2656.0,2896.0,6046.0
5,2468.0,2672.0,2867.0,6065.0
6,2595.0,2778.0,2928.0,6118.0
7,2506.0,2668.0,2881.0,6069.0
8,2627.0,2765.0,2936.0,6076.0
9,2397.0,2607.0,2820.0,6095.0
10,2505.0,2721.0,2886.0,6118.0
11,2659.0,2824.0,2965.0,6074.0
12,2693.0,2831.0,2981.0,6040.0
13,2648.0,2780.0,2942.0,6088.0
14,2622.0,2796.0,2943.0,6061.0
15,2595.0,2781.0,2931.0,6126.0
16,2552.0,2753.0,2900.0,6111.0
17,2526.0,2703.0,2886.0,6134.0
18,2484.0,2679.0,2859.0,6038.0
19,2561.0,2726.0,2906.0,6035.0
20,2490.0,2661.0,2871.0,6097.0
21,2474.0,2684.0,2852.0,6058.0
22,2618.0,2783.0,2942.0,6017.0
23,2449.0,2614.0,2848.0,6127.0
24,2485.0,2686.0,2872.0,6027.0
25,2548.0,2707.0,2899.0,6083.0
26,2513.0,2696.0,2882.0,6108.0
27,2596.0,2743.0,2926.0,6120.0
28,2424.0,2583.0,2829.0,6041.0
29,2547.0,2721.0,2904.0,6089.0
30,2452.0,2668.0,2857.0,6119.0
31,2518.0,2674.0,2881.0,6057.0
32,2478.0,2712.0,2865.0,6057.0
33,2520.0,2703.0,2877.0,6000.0
34,2526.0,2685.0,2880.0,6089.0
35,2502.0,2703.0,2886.0,6090.0
36,2492.0,2708.0,2882.0,6075.0
37,2553.0,2733.0,2895.0,6076.0
38,2541.0,2688.0,2904.0,6063.0
39,2543.0,2702.0,2906.0,6088.0
40,2549.0,2735.0,2906.0,6046.0
41,2506.0,2704.0,2875.0,6103.0
42,2592.0,2772.0,2922.0,6064.0
43,2549.0,2717.0,2900.0,6048.0
44,2540.0,2708.0,2894.0,6147.0
45,2399.0,2576.0,2819.0,6040.0
46,2360.0,2597.0,2801.0,6070.0
47,2581.0,2767.0,2920.0,6131.0
48,2558.0,2732.0,2909.0,6092.0
49,2405.0,2645.0,2831.0,6006.0
50,2524.0,2716.0,2887.0,6097.0
51,2611.0,2770.0,2935.0,6111.0
52,2524.0,2719.0,2890.0,6020.0
53,2664.0,2823.0,2958.0,6028.0
54,2576.0,2741.0,2912.0,6037.0
55,2446.0,2650.0,2851.0,6108.0
56,2507.0,2720.0,2885.0,6057.0
57,2437.0,2638.0,2845.0,6124.0
58,2632.0,2824.0,2950.0,6032.0
59,2399.0,2645.0,2822.0,6080.0
60,2629.0,2794.0,2938.0,6089.0
61,2524.0,2746.0,2890.0,6122.0
62,2509.0,2707.0,2878.0,6002.0
63,2545.0,2743.0,2905.0,6098.0
64,2557.0,2755.0,2905.0,6015.0
65,2469.0,2685.0,2865.0,6071.0
66,2618.0,2768.0,2933.0,6131.0
67,2591.0,2759.0,2924.0,6109.0
68,2444.0,2669.0,2846.0,6105.0
69,2366.0,2612.0,2813.0,6132.0
70,2620.0,2752.0,2929.0,5994.0
71,2631.0,2790.0,2946.0,6119.0
72,2531.0,2693.0,2888.0,6141.0
73,2459.0,2690.0,2858.0,6080.0
74,2450.0,2693.0,2849.0,6139.0
75,2520.0,2715.0,2892.0,6071.0
76,2493.0,2691.0,2874.0,6026.0
77,2458.0,2638.0,2851.0,6166.0
78,2672.0,2834.0,2960.0,6041.0
79,2483.0,2690.0,2870.0,6062.0
80,2527.0,2689.0,2887.0,6045.0
81,2487.0,2700.0,2868.0,6071.0
82,2679.0,2802.0,2970.0,5976.0
83,2487.0,2649.0,2871.0,5966.0
84,2637.0,2772.0,2943.0,6073.0
85,2499.0,2667.0,2874.0,6032.0
86,2550.0,2724.0,2898.0,6161.0
87,2484.0,2688.0,2874.0,6066.0
88,2530.0,2695.0,2884.0,6089.0
89,2521.0,2689.0,2884.0,6062.0
90,2453.0,2651.0,2855.0,6089.0
91,2315.0,2582.0,2786.0,6085.0
92,2414.0,2642.0,2828.0,6103.0
93,2550.0,2709.0,2895.0,6091.0
94,2466.0,2643.0,2859.0,6083.0
95,2547.0,2736.0,2898.0,6057.0
96,2598.0,2745.0,2922.0,6068.0
97,2505.0,2652.0,2871.0,6023.0
98,2533.0,2734.0,2899.0,6040.0
99,2491.0,2695.0,2866.0,6080.0
100,2527.66,2710.03,2889.97,6073.57
