Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,3440.0,3710.0,3869.0,7514.0
1,3482.0,3734.0,3899.0,7455.0
2,3612.0,3792.0,4137.0,7562.0
3,3372.0,3600.0,3834.0,7568.0
4,3537.0,3753.0,3918.0,7478.0
5,3459.0,3642.0,3882.0,7482.0
6,3442.0,3664.0,3874.0,7517.0
7,3368.0,3617.0,3830.0,7542.0
8,3530.0,3731.0,3914.0,7471.0
9,3546.0,3717.0,3921.0,7583.0
10,3382.0,3601.0,3829.0,7537.0
11,3585.0,3783.0,4128.0,7608.0
12,3533.0,3749.0,3929.0,7544.0
13,3472.0,3712.0,3886.0,7563.0
14,3381.0,3624.0,3840.0,7497.0
15,3527.0,3728.0,3920.0,7552.0
16,3408.0,3666.0,3867.0,7603.0
17,3447.0,3672.0,3882.0,7562.0
18,3452.0,3722.0,3878.0,7584.0
19,3521.0,3743.0,4091.0,7529.0
20,3579.0,3801.0,4125.0,7563.0
21,3490.0,3751.0,4087.0,7515.0
22,3603.0,3798.0,4140.0,7470.0
23,3503.0,3743.0,3914.0,7465.0
24,3429.0,3696.0,3861.0,7528.0
25,3403.0,3643.0,3856.0,7477.0
26,3473.0,3698.0,3890.0,7541.0
27,3391.0,3631.0,3847.0,7577.0
28,3518.0,3740.0,4100.0,7542.0
29,3601.0,3775.0,4141.0,7534.0
30,3432.0,3705.0,3867.0,7529.0
31,3561.0,3771.0,4119.0,7482.0
32,3470.0,3725.0,3896.0,7588.0
33,3543.0,3738.0,4101.0,7483.0
34,3490.0,3697.0,3895.0,7493.0
35,3581.0,3785.0,4133.0,7552.0
36,3525.0,3738.0,3918.0,7511.0
37,3679.0,3853.0,4168.0,7532.0
38,3565.0,3682.0,3934.0,7447.0
39,3534.0,3708.0,3921.0,7513.0
40,3473.0,3698.0,3896.0,7557.0
41,3505.0,3706.0,3904.0,7473.0
42,3641.0,3806.0,4160.0,7529.0
43,3575.0,3776.0,4127.0,7504.0
44,3467.0,3716.0,3896.0,7566.0
45,3369.0,3618.0,3840.0,7567.0
46,3505.0,3748.0,3907.0,7561.0
47,3543.0,3738.0,3924.0,7624.0
48,3366.0,3639.0,3837.0,7474.0
49,3566.0,3758.0,3929.0,7557.0
50,3458.0,3698.0,3881.0,7534.0
51,3220.0,3472.0,3760.0,7489.0
52,3254.0,3515.0,3770.0,7568.0
53,3516.0,3711.0,3909.0,7528.0
54,3555.0,3768.0,3936.0,7516.0
55,3487.0,3748.0,3895.0,7578.0
56,3614.0,3809.0,4139.0,7525.0
57,3382.0,3646.0,3841.0,7527.0
58,3494.0,3728.0,3908.0,7606.0
59,3263.0,3530.0,3785.0,7518.0
60,3440.0,3644.0,3872.0,7564.0
61,3548.0,3755.0,3929.0,7571.0
62,3407.0,3629.0,3851.0,7555.0
63,3437.0,3659.0,3863.0,7573.0
64,3500.0,3710.0,3911.0,7549.0
65,3309.0,3564.0,3804.0,7498.0
66,3512.0,3677.0,3896.0,7473.0
67,3573.0,3780.0,4128.0,7583.0
68,3437.0,3710.0,3869.0,7564.0
69,3333.0,3615.0,3816.0,7546.0
70,3509.0,3737.0,3911.0,7567.0
71,3521.0,3776.0,3920.0,7568.0
72,3680.0,3830.0,4172.0,7515.0
73,3594.0,3783.0,4128.0,7484.0
74,3481.0,3658.0,3880.0,7522.0
75,3510.0,3774.0,3909.0,7576.0
76,3541.0,3748.0,3928.0,7442.0
77,3510.0,3693.0,3912.0,7591.0
78,3604.0,3823.0,4147.0,7498.0
79,3565.0,3781.0,4120.0,7488.0
80,3486.0,3714.0,3900.0,7530.0
81,3384.0,3642.0,3831.0,7514.0
82,3679.0,3814.0,4165.0,7524.0
83,3553.0,3760.0,4114.0,7530.0
84,3504.0,3708.0,3912.0,7478.0
85,3474.0,3699.0,3891.0,7519.0
86,3668.0,3836.0,4166.0,7466.0
87,3534.0,3774.0,4110.0,7480.0
88,3347.0,3623.0,3827.0,7475.0
89,3502.0,3727.0,3901.0,7445.0
90,3504.0,3711.0,3891.0,7594.0
91,3558.0,3744.0,3939.0,7547.0
92,3649.0,3853.0,4156.0,7480.0
93,3466.0,3730.0,3898.0,7497.0
94,3518.0,3731.0,3908.0,7582.0
95,3571.0,3808.0,4120.0,7469.0
96,3514.0,3718.0,3904.0,7558.0
97,3433.0,3679.0,3868.0,7500.0
98,3608.0,3827.0,4139.0,7560.0
99,3439.0,3742.0,3886.0,7523.0
100,3495.21,3716.52,3949.77,7528.92
